Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Y7dUgG3vyx3541JagbWvv,"4fxd5Ee7UefO4CUXgwJ7IP","This Ain't Love","TAKE TIME","Giveon",2020-03-27,164967,58,spotify:user:calv2ncarter,2024-01-04T00:40:15Z,"r&b",0.416,0.455,7,-9.911,1,0.0923,0.464,0.0000205,0.619,0.408,81.735,4
3ym8ajVmKm6Fybgov3WBI5,"20wkVLutqVOYrc0kxFs7rA","Let Me Go","NEVER ENOUGH","Daniel Caesar",2023-04-07,216524,74,spotify:user:calv2ncarter,2024-01-04T00:40:26Z,"canadian contemporary r&b",0.602,0.478,7,-8.439,0,0.0629,0.723,0.00479,0.108,0.425,152.957,4
1maIZ0gsjVbdANLvl4v0ao,"2WoVwexZuODvclzULjPQtm","Suspended","Lahai","Sampha",2023-10-20,185371,60,spotify:user:calv2ncarter,2024-01-04T00:40:39Z,"alternative r&b,indie soul",0.655,0.607,5,-8.064,0,0.0433,0.695,0.000626,0.12,0.547,155.974,4
5GUYJTQap5F3RDQiCOJhrS,"2h93pZq0e7k5yf4dywlkpM","Self Control","Blonde","Frank Ocean",2016-08-20,249667,79,spotify:user:calv2ncarter,2024-01-04T00:41:05Z,"lgbtq+ hip hop,neo soul",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
6MEDfjHxnVNcYmHe3mM6L2,"2h93pZq0e7k5yf4dywlkpM","Sweet Life","channel ORANGE","Frank Ocean",2012-07-10,262680,72,spotify:user:calv2ncarter,2024-01-04T00:40:53Z,"lgbtq+ hip hop,neo soul",0.479,0.558,11,-6.074,1,0.179,0.227,0,0.0808,0.8,83.465,4
1wYIv0ySOwjMFWLOtrgtbo,"73sIBHcqh3Z3NyqHKZ7FOL","III. Urn","Because the Internet","Childish Gambino",2013-12-10,73386,77,spotify:user:calv2ncarter,2024-01-04T00:42:00Z,"atl hip hop,hip hop,rap",0.59,0.446,0,-12.759,0,0.0731,0.621,0.00235,0.0731,0.399,140.081,4
7JXZq0JgG2zTrSOAgY8VMC,"3TVXtAsR1Inumwj472S9r4","Jungle","If You're Reading This It's Too Late","Drake",2015-02-12,320400,78,spotify:user:calv2ncarter,2024-01-04T00:42:15Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,4
4deAN7JXhdHHifxOp0TTjU,"20wkVLutqVOYrc0kxFs7rA","Do You Like Me?","NEVER ENOUGH","Daniel Caesar",2023-04-07,227520,71,spotify:user:calv2ncarter,2024-01-04T00:42:23Z,"canadian contemporary r&b",0.701,0.398,11,-6.938,1,0.0463,0.531,0.00689,0.125,0.367,76.995,4
4k6Uh1HXdhtusDW5y8Gbvy,"57vWImR43h4CaDao012Ofp","Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232066,83,spotify:user:calv2ncarter,2024-01-04T00:42:43Z,"afrofuturism",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
2Yv2mHzr5AQavVdwQjEokV,"4LLpKhyESsyAXpc4laK94U","Hand Me Downs","Circles","Mac Miller",2020-01-17,298440,68,spotify:user:calv2ncarter,2024-01-04T00:43:29Z,"hip hop,pittsburgh rap,rap",0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,4
6eT2V7nKXyMf47TwPbtgAD,"7tYKF4w9nC0nq9CsPZTHyP","Seek & Destroy","SOS","SZA",2022-12-09,203733,76,spotify:user:calv2ncarter,2024-01-04T00:44:00Z,"pop,r&b,rap",0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,4
7MOgLN4PHcXhhTZLchodnC,"2WoVwexZuODvclzULjPQtm","Plastic 100°C","Process (Bonus Edition)","Sampha",2017,316187,54,spotify:user:calv2ncarter,2024-01-04T00:44:37Z,"alternative r&b,indie soul",0.591,0.361,3,-11.879,0,0.0539,0.735,0.00227,0.654,0.175,132.08,4
0PfurdlOZRYJ6pkrvHOkUh,"1U1el3k54VvEUzo3ybLPlM","Blue","Red Moon In Venus","Kali Uchis",2023-03-03,192611,62,spotify:user:calv2ncarter,2024-01-04T00:45:43Z,"colombian pop",0.708,0.574,11,-6.111,0,0.0493,0.539,0.0000712,0.21,0.563,94.004,4
3YJJjQPAbDT7mGpX3WtQ9A,"7tYKF4w9nC0nq9CsPZTHyP","Good Days","Good Days","SZA",2020-12-25,279204,83,spotify:user:calv2ncarter,2024-01-04T00:44:20Z,"pop,r&b,rap",0.436,0.655,1,-8.37,0,0.0583,0.499,0.0000081,0.688,0.412,121.002,4
1DWZUa5Mzf2BwzpHtgbHPY,"4LLpKhyESsyAXpc4laK94U","Good News","Circles","Mac Miller",2020-01-17,342040,74,spotify:user:calv2ncarter,2024-01-04T00:43:19Z,"hip hop,pittsburgh rap,rap",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
3iv26BUAWSn83q8rhGKPE8,"1U1el3k54VvEUzo3ybLPlM","Flight 22","Isolation","Kali Uchis",2018-04-06,216982,60,spotify:user:calv2ncarter,2024-01-04T00:46:01Z,"colombian pop",0.635,0.646,10,-5.246,1,0.0462,0.415,0.00055,0.42,0.344,117.956,3
2UBwvSk8tTMqydEdWsfBb8,"2WoVwexZuODvclzULjPQtm","(No One Knows Me) Like the Piano","Process (Bonus Edition)","Sampha",2017,218160,60,spotify:user:calv2ncarter,2024-01-04T00:44:47Z,"alternative r&b,indie soul",0.62,0.199,10,-13.788,1,0.0344,0.976,0.00178,0.107,0.179,129.01,4
2LMkwUfqC6S6s6qDVlEuzV,"2h93pZq0e7k5yf4dywlkpM","White Ferrari","Blonde","Frank Ocean",2016-08-20,248807,83,spotify:user:calv2ncarter,2024-01-04T00:46:20Z,"lgbtq+ hip hop,neo soul",0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4
593W4qZOwwdqF6YnimJjL6,"7tYKF4w9nC0nq9CsPZTHyP,2YZyLoL8N0Wb9xBt1NhZWg","Doves In The Wind (feat. Kendrick Lamar)","Ctrl","SZA,Kendrick Lamar",2017-06-09,266080,74,spotify:user:calv2ncarter,2024-01-04T00:46:47Z,"pop,r&b,rap,conscious hip hop,hip hop,west coast rap",0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,4
0725YWm6Z0TpZ6wrNk64Eb,"2h93pZq0e7k5yf4dywlkpM,3A5tHz1SfngyOZM2gItYKu","Super Rich Kids","channel ORANGE","Frank Ocean,Earl Sweatshirt",2012-07-10,304760,80,spotify:user:calv2ncarter,2024-01-04T00:46:52Z,"lgbtq+ hip hop,neo soul,alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",0.739,0.419,3,-8.241,0,0.0854,0.219,0,0.196,0.58,60.493,4
01z2fBGB8Hl3Jd3zXe4IXR,"4LLpKhyESsyAXpc4laK94U","Come Back to Earth","Swimming","Mac Miller",2018-08-03,161840,74,spotify:user:calv2ncarter,2024-01-04T00:47:04Z,"hip hop,pittsburgh rap,rap",0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,4
5TxRUOsGeWeRl3xOML59Ai,"4V8LLVI7PbaPR0K2TGSxFF","ARE WE STILL FRIENDS?","IGOR","Tyler, The Creator",2019-05-17,265480,83,spotify:user:calv2ncarter,2024-01-04T00:47:50Z,"hip hop,rap",0.216,0.497,10,-8.025,1,0.0371,0.128,0.00000239,0.111,0.313,187.308,3
1boXOL0ua7N2iCOUVI1p9F,"20wkVLutqVOYrc0kxFs7rA","Japanese Denim","Get You - Single","Daniel Caesar",2016-10-21,270846,81,spotify:user:calv2ncarter,2024-01-04T00:47:06Z,"canadian contemporary r&b",0.707,0.238,3,-8.818,1,0.0379,0.0905,0.00000242,0.0842,0.345,124.156,3
